"id","ts","label","variant","run_no","query_sql","plan_json","planning_ms","execution_ms","actual_rows","shared_hits","shared_reads","shared_dirtied","shared_written","temp_reads","temp_writes","notes"
"1","2025-10-13 02:30:54.409414+00","N=1000 jsonb_indexed","S1_expr_eq_num",1,"SELECT id FROM inv_jsonb
      WHERE (payload->>'indexed_text_1') = 'A'
        AND ((payload->>'indexed_number_1')::numeric) > 100","[{""Plan"": {""Alias"": ""inv_jsonb"", ""Plans"": [{""Node Type"": ""Bitmap Index Scan"", ""Plan Rows"": 38, ""Index Cond"": ""((payload ->> 'indexed_text_1'::text) = 'A'::text)"", ""Index Name"": ""inv_jsonb_idx_text1_ts1_txt"", ""Plan Width"": 0, ""Total Cost"": 1.66, ""Actual Rows"": 38, ""Actual Loops"": 1, ""Startup Cost"": 0.00, ""Async Capable"": false, ""Parallel Aware"": false, ""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Actual Total Time"": 0.005, ""Local Read Blocks"": 0, ""Shared Hit Blocks"": 2, ""Shared Read Blocks"": 0, ""Actual Startup Time"": 0.005, ""Parent Relationship"": ""Outer"", ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0}], ""Filter"": ""(((payload ->> 'indexed_number_1'::text))::numeric > '100'::numeric)"", ""Node Type"": ""Bitmap Heap Scan"", ""Plan Rows"": 38, ""Plan Width"": 8, ""Total Cost"": 39.52, ""Actual Rows"": 38, ""Actual Loops"": 1, ""Recheck Cond"": ""((payload ->> 'indexed_text_1'::text) = 'A'::text)"", ""Startup Cost"": 1.67, ""Async Capable"": false, ""Relation Name"": ""inv_jsonb"", ""Parallel Aware"": false, ""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Actual Total Time"": 0.035, ""Exact Heap Blocks"": 38, ""Local Read Blocks"": 0, ""Lossy Heap Blocks"": 0, ""Shared Hit Blocks"": 40, ""Shared Read Blocks"": 0, ""Actual Startup Time"": 0.011, ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0, ""Rows Removed by Filter"": 0, ""Rows Removed by Index Recheck"": 0}, ""Planning"": {""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Local Read Blocks"": 0, ""Shared Hit Blocks"": 4, ""Shared Read Blocks"": 0, ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0}, ""Triggers"": [], ""Planning Time"": 0.070, ""Execution Time"": 0.042}]","0.070","0.042","38","40","0","0","0","0","0",NULL
"2","2025-10-13 02:30:54.409414+00","N=1000 jsonb_indexed","S1_expr_eq_num",2,"SELECT id FROM inv_jsonb
      WHERE (payload->>'indexed_text_1') = 'A'
        AND ((payload->>'indexed_number_1')::numeric) > 100","[{""Plan"": {""Alias"": ""inv_jsonb"", ""Plans"": [{""Node Type"": ""Bitmap Index Scan"", ""Plan Rows"": 38, ""Index Cond"": ""((payload ->> 'indexed_text_1'::text) = 'A'::text)"", ""Index Name"": ""inv_jsonb_idx_text1_ts1_txt"", ""Plan Width"": 0, ""Total Cost"": 1.66, ""Actual Rows"": 38, ""Actual Loops"": 1, ""Startup Cost"": 0.00, ""Async Capable"": false, ""Parallel Aware"": false, ""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Actual Total Time"": 0.006, ""Local Read Blocks"": 0, ""Shared Hit Blocks"": 2, ""Shared Read Blocks"": 0, ""Actual Startup Time"": 0.006, ""Parent Relationship"": ""Outer"", ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0}], ""Filter"": ""(((payload ->> 'indexed_number_1'::text))::numeric > '100'::numeric)"", ""Node Type"": ""Bitmap Heap Scan"", ""Plan Rows"": 38, ""Plan Width"": 8, ""Total Cost"": 39.52, ""Actual Rows"": 38, ""Actual Loops"": 1, ""Recheck Cond"": ""((payload ->> 'indexed_text_1'::text) = 'A'::text)"", ""Startup Cost"": 1.67, ""Async Capable"": false, ""Relation Name"": ""inv_jsonb"", ""Parallel Aware"": false, ""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Actual Total Time"": 0.039, ""Exact Heap Blocks"": 38, ""Local Read Blocks"": 0, ""Lossy Heap Blocks"": 0, ""Shared Hit Blocks"": 40, ""Shared Read Blocks"": 0, ""Actual Startup Time"": 0.012, ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0, ""Rows Removed by Filter"": 0, ""Rows Removed by Index Recheck"": 0}, ""Planning"": {""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Local Read Blocks"": 0, ""Shared Hit Blocks"": 4, ""Shared Read Blocks"": 0, ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0}, ""Triggers"": [], ""Planning Time"": 0.078, ""Execution Time"": 0.046}]","0.078","0.046","38","40","0","0","0","0","0",NULL
"3","2025-10-13 02:30:54.409414+00","N=1000 jsonb_indexed","S1_expr_eq_num",3,"SELECT id FROM inv_jsonb
      WHERE (payload->>'indexed_text_1') = 'A'
        AND ((payload->>'indexed_number_1')::numeric) > 100","[{""Plan"": {""Alias"": ""inv_jsonb"", ""Plans"": [{""Node Type"": ""Bitmap Index Scan"", ""Plan Rows"": 38, ""Index Cond"": ""((payload ->> 'indexed_text_1'::text) = 'A'::text)"", ""Index Name"": ""inv_jsonb_idx_text1_ts1_txt"", ""Plan Width"": 0, ""Total Cost"": 1.66, ""Actual Rows"": 38, ""Actual Loops"": 1, ""Startup Cost"": 0.00, ""Async Capable"": false, ""Parallel Aware"": false, ""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Actual Total Time"": 0.005, ""Local Read Blocks"": 0, ""Shared Hit Blocks"": 2, ""Shared Read Blocks"": 0, ""Actual Startup Time"": 0.005, ""Parent Relationship"": ""Outer"", ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0}], ""Filter"": ""(((payload ->> 'indexed_number_1'::text))::numeric > '100'::numeric)"", ""Node Type"": ""Bitmap Heap Scan"", ""Plan Rows"": 38, ""Plan Width"": 8, ""Total Cost"": 39.52, ""Actual Rows"": 38, ""Actual Loops"": 1, ""Recheck Cond"": ""((payload ->> 'indexed_text_1'::text) = 'A'::text)"", ""Startup Cost"": 1.67, ""Async Capable"": false, ""Relation Name"": ""inv_jsonb"", ""Parallel Aware"": false, ""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Actual Total Time"": 0.037, ""Exact Heap Blocks"": 38, ""Local Read Blocks"": 0, ""Lossy Heap Blocks"": 0, ""Shared Hit Blocks"": 40, ""Shared Read Blocks"": 0, ""Actual Startup Time"": 0.012, ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0, ""Rows Removed by Filter"": 0, ""Rows Removed by Index Recheck"": 0}, ""Planning"": {""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Local Read Blocks"": 0, ""Shared Hit Blocks"": 4, ""Shared Read Blocks"": 0, ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0}, ""Triggers"": [], ""Planning Time"": 0.073, ""Execution Time"": 0.045}]","0.073","0.045","38","40","0","0","0","0","0",NULL
"4","2025-10-13 02:30:54.409414+00","N=1000 jsonb_indexed","S1_expr_eq_num",4,"SELECT id FROM inv_jsonb
      WHERE (payload->>'indexed_text_1') = 'A'
        AND ((payload->>'indexed_number_1')::numeric) > 100","[{""Plan"": {""Alias"": ""inv_jsonb"", ""Plans"": [{""Node Type"": ""Bitmap Index Scan"", ""Plan Rows"": 38, ""Index Cond"": ""((payload ->> 'indexed_text_1'::text) = 'A'::text)"", ""Index Name"": ""inv_jsonb_idx_text1_ts1_txt"", ""Plan Width"": 0, ""Total Cost"": 1.66, ""Actual Rows"": 38, ""Actual Loops"": 1, ""Startup Cost"": 0.00, ""Async Capable"": false, ""Parallel Aware"": false, ""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Actual Total Time"": 0.005, ""Local Read Blocks"": 0, ""Shared Hit Blocks"": 2, ""Shared Read Blocks"": 0, ""Actual Startup Time"": 0.005, ""Parent Relationship"": ""Outer"", ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0}], ""Filter"": ""(((payload ->> 'indexed_number_1'::text))::numeric > '100'::numeric)"", ""Node Type"": ""Bitmap Heap Scan"", ""Plan Rows"": 38, ""Plan Width"": 8, ""Total Cost"": 39.52, ""Actual Rows"": 38, ""Actual Loops"": 1, ""Recheck Cond"": ""((payload ->> 'indexed_text_1'::text) = 'A'::text)"", ""Startup Cost"": 1.67, ""Async Capable"": false, ""Relation Name"": ""inv_jsonb"", ""Parallel Aware"": false, ""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Actual Total Time"": 0.037, ""Exact Heap Blocks"": 38, ""Local Read Blocks"": 0, ""Lossy Heap Blocks"": 0, ""Shared Hit Blocks"": 40, ""Shared Read Blocks"": 0, ""Actual Startup Time"": 0.011, ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0, ""Rows Removed by Filter"": 0, ""Rows Removed by Index Recheck"": 0}, ""Planning"": {""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Local Read Blocks"": 0, ""Shared Hit Blocks"": 4, ""Shared Read Blocks"": 0, ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0}, ""Triggers"": [], ""Planning Time"": 0.074, ""Execution Time"": 0.044}]","0.074","0.044","38","40","0","0","0","0","0",NULL
"5","2025-10-13 02:30:54.409414+00","N=1000 jsonb_indexed","S1_expr_eq_num",5,"SELECT id FROM inv_jsonb
      WHERE (payload->>'indexed_text_1') = 'A'
        AND ((payload->>'indexed_number_1')::numeric) > 100","[{""Plan"": {""Alias"": ""inv_jsonb"", ""Plans"": [{""Node Type"": ""Bitmap Index Scan"", ""Plan Rows"": 38, ""Index Cond"": ""((payload ->> 'indexed_text_1'::text) = 'A'::text)"", ""Index Name"": ""inv_jsonb_idx_text1_ts1_txt"", ""Plan Width"": 0, ""Total Cost"": 1.66, ""Actual Rows"": 38, ""Actual Loops"": 1, ""Startup Cost"": 0.00, ""Async Capable"": false, ""Parallel Aware"": false, ""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Actual Total Time"": 0.005, ""Local Read Blocks"": 0, ""Shared Hit Blocks"": 2, ""Shared Read Blocks"": 0, ""Actual Startup Time"": 0.005, ""Parent Relationship"": ""Outer"", ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0}], ""Filter"": ""(((payload ->> 'indexed_number_1'::text))::numeric > '100'::numeric)"", ""Node Type"": ""Bitmap Heap Scan"", ""Plan Rows"": 38, ""Plan Width"": 8, ""Total Cost"": 39.52, ""Actual Rows"": 38, ""Actual Loops"": 1, ""Recheck Cond"": ""((payload ->> 'indexed_text_1'::text) = 'A'::text)"", ""Startup Cost"": 1.67, ""Async Capable"": false, ""Relation Name"": ""inv_jsonb"", ""Parallel Aware"": false, ""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Actual Total Time"": 0.036, ""Exact Heap Blocks"": 38, ""Local Read Blocks"": 0, ""Lossy Heap Blocks"": 0, ""Shared Hit Blocks"": 40, ""Shared Read Blocks"": 0, ""Actual Startup Time"": 0.011, ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0, ""Rows Removed by Filter"": 0, ""Rows Removed by Index Recheck"": 0}, ""Planning"": {""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Local Read Blocks"": 0, ""Shared Hit Blocks"": 4, ""Shared Read Blocks"": 0, ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0}, ""Triggers"": [], ""Planning Time"": 0.072, ""Execution Time"": 0.043}]","0.072","0.043","38","40","0","0","0","0","0",NULL
"6","2025-10-13 02:30:54.409414+00","N=1000 jsonb_indexed","S1_expr_eq_num",6,"SELECT id FROM inv_jsonb
      WHERE (payload->>'indexed_text_1') = 'A'
        AND ((payload->>'indexed_number_1')::numeric) > 100","[{""Plan"": {""Alias"": ""inv_jsonb"", ""Plans"": [{""Node Type"": ""Bitmap Index Scan"", ""Plan Rows"": 38, ""Index Cond"": ""((payload ->> 'indexed_text_1'::text) = 'A'::text)"", ""Index Name"": ""inv_jsonb_idx_text1_ts1_txt"", ""Plan Width"": 0, ""Total Cost"": 1.66, ""Actual Rows"": 38, ""Actual Loops"": 1, ""Startup Cost"": 0.00, ""Async Capable"": false, ""Parallel Aware"": false, ""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Actual Total Time"": 0.005, ""Local Read Blocks"": 0, ""Shared Hit Blocks"": 2, ""Shared Read Blocks"": 0, ""Actual Startup Time"": 0.005, ""Parent Relationship"": ""Outer"", ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0}], ""Filter"": ""(((payload ->> 'indexed_number_1'::text))::numeric > '100'::numeric)"", ""Node Type"": ""Bitmap Heap Scan"", ""Plan Rows"": 38, ""Plan Width"": 8, ""Total Cost"": 39.52, ""Actual Rows"": 38, ""Actual Loops"": 1, ""Recheck Cond"": ""((payload ->> 'indexed_text_1'::text) = 'A'::text)"", ""Startup Cost"": 1.67, ""Async Capable"": false, ""Relation Name"": ""inv_jsonb"", ""Parallel Aware"": false, ""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Actual Total Time"": 0.036, ""Exact Heap Blocks"": 38, ""Local Read Blocks"": 0, ""Lossy Heap Blocks"": 0, ""Shared Hit Blocks"": 40, ""Shared Read Blocks"": 0, ""Actual Startup Time"": 0.011, ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0, ""Rows Removed by Filter"": 0, ""Rows Removed by Index Recheck"": 0}, ""Planning"": {""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Local Read Blocks"": 0, ""Shared Hit Blocks"": 4, ""Shared Read Blocks"": 0, ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0}, ""Triggers"": [], ""Planning Time"": 0.072, ""Execution Time"": 0.043}]","0.072","0.043","38","40","0","0","0","0","0",NULL
"1172","2025-10-13 02:30:54.409414+00","N=1000 rel_unindexed","S10_topn_order",2,"SELECT id FROM inv_rel
      WHERE unindexed_text_1 = 'A'
      ORDER BY unindexed_timestamp_1","[{""Plan"": {""Plans"": [{""Alias"": ""inv_rel"", ""Filter"": ""(unindexed_text_1 = 'A'::text)"", ""Node Type"": ""Seq Scan"", ""Plan Rows"": 38, ""Plan Width"": 16, ""Total Cost"": 64.50, ""Actual Rows"": 38, ""Actual Loops"": 1, ""Startup Cost"": 0.00, ""Async Capable"": false, ""Relation Name"": ""inv_rel"", ""Parallel Aware"": false, ""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Actual Total Time"": 0.108, ""Local Read Blocks"": 0, ""Shared Hit Blocks"": 52, ""Shared Read Blocks"": 0, ""Actual Startup Time"": 0.007, ""Parent Relationship"": ""Outer"", ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0, ""Rows Removed by Filter"": 962}], ""Sort Key"": [""unindexed_timestamp_1""], ""Node Type"": ""Sort"", ""Plan Rows"": 38, ""Plan Width"": 16, ""Total Cost"": 65.59, ""Actual Rows"": 38, ""Sort Method"": ""quicksort"", ""Actual Loops"": 1, ""Startup Cost"": 65.50, ""Async Capable"": false, ""Parallel Aware"": false, ""Sort Space Type"": ""Memory"", ""Sort Space Used"": 26, ""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Actual Total Time"": 0.117, ""Local Read Blocks"": 0, ""Shared Hit Blocks"": 52, ""Shared Read Blocks"": 0, ""Actual Startup Time"": 0.115, ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0}, ""Planning"": {""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Local Read Blocks"": 0, ""Shared Hit Blocks"": 0, ""Shared Read Blocks"": 0, ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0}, ""Triggers"": [], ""Planning Time"": 0.054, ""Execution Time"": 0.125}]","0.054","0.125","38","52","0","0","0","0","0",NULL
"7","2025-10-13 02:30:54.409414+00","N=1000 jsonb_indexed","S1_expr_eq_num",7,"SELECT id FROM inv_jsonb
      WHERE (payload->>'indexed_text_1') = 'A'
        AND ((payload->>'indexed_number_1')::numeric) > 100","[{""Plan"": {""Alias"": ""inv_jsonb"", ""Plans"": [{""Node Type"": ""Bitmap Index Scan"", ""Plan Rows"": 38, ""Index Cond"": ""((payload ->> 'indexed_text_1'::text) = 'A'::text)"", ""Index Name"": ""inv_jsonb_idx_text1_ts1_txt"", ""Plan Width"": 0, ""Total Cost"": 1.66, ""Actual Rows"": 38, ""Actual Loops"": 1, ""Startup Cost"": 0.00, ""Async Capable"": false, ""Parallel Aware"": false, ""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Actual Total Time"": 0.005, ""Local Read Blocks"": 0, ""Shared Hit Blocks"": 2, ""Shared Read Blocks"": 0, ""Actual Startup Time"": 0.005, ""Parent Relationship"": ""Outer"", ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0}], ""Filter"": ""(((payload ->> 'indexed_number_1'::text))::numeric > '100'::numeric)"", ""Node Type"": ""Bitmap Heap Scan"", ""Plan Rows"": 38, ""Plan Width"": 8, ""Total Cost"": 39.52, ""Actual Rows"": 38, ""Actual Loops"": 1, ""Recheck Cond"": ""((payload ->> 'indexed_text_1'::text) = 'A'::text)"", ""Startup Cost"": 1.67, ""Async Capable"": false, ""Relation Name"": ""inv_jsonb"", ""Parallel Aware"": false, ""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Actual Total Time"": 0.036, ""Exact Heap Blocks"": 38, ""Local Read Blocks"": 0, ""Lossy Heap Blocks"": 0, ""Shared Hit Blocks"": 40, ""Shared Read Blocks"": 0, ""Actual Startup Time"": 0.011, ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0, ""Rows Removed by Filter"": 0, ""Rows Removed by Index Recheck"": 0}, ""Planning"": {""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Local Read Blocks"": 0, ""Shared Hit Blocks"": 4, ""Shared Read Blocks"": 0, ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0}, ""Triggers"": [], ""Planning Time"": 0.072, ""Execution Time"": 0.043}]","0.072","0.043","38","40","0","0","0","0","0",NULL
"8","2025-10-13 02:30:54.409414+00","N=1000 jsonb_indexed","S1_expr_eq_num",8,"SELECT id FROM inv_jsonb
      WHERE (payload->>'indexed_text_1') = 'A'
        AND ((payload->>'indexed_number_1')::numeric) > 100","[{""Plan"": {""Alias"": ""inv_jsonb"", ""Plans"": [{""Node Type"": ""Bitmap Index Scan"", ""Plan Rows"": 38, ""Index Cond"": ""((payload ->> 'indexed_text_1'::text) = 'A'::text)"", ""Index Name"": ""inv_jsonb_idx_text1_ts1_txt"", ""Plan Width"": 0, ""Total Cost"": 1.66, ""Actual Rows"": 38, ""Actual Loops"": 1, ""Startup Cost"": 0.00, ""Async Capable"": false, ""Parallel Aware"": false, ""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Actual Total Time"": 0.005, ""Local Read Blocks"": 0, ""Shared Hit Blocks"": 2, ""Shared Read Blocks"": 0, ""Actual Startup Time"": 0.005, ""Parent Relationship"": ""Outer"", ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0}], ""Filter"": ""(((payload ->> 'indexed_number_1'::text))::numeric > '100'::numeric)"", ""Node Type"": ""Bitmap Heap Scan"", ""Plan Rows"": 38, ""Plan Width"": 8, ""Total Cost"": 39.52, ""Actual Rows"": 38, ""Actual Loops"": 1, ""Recheck Cond"": ""((payload ->> 'indexed_text_1'::text) = 'A'::text)"", ""Startup Cost"": 1.67, ""Async Capable"": false, ""Relation Name"": ""inv_jsonb"", ""Parallel Aware"": false, ""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Actual Total Time"": 0.037, ""Exact Heap Blocks"": 38, ""Local Read Blocks"": 0, ""Lossy Heap Blocks"": 0, ""Shared Hit Blocks"": 40, ""Shared Read Blocks"": 0, ""Actual Startup Time"": 0.011, ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0, ""Rows Removed by Filter"": 0, ""Rows Removed by Index Recheck"": 0}, ""Planning"": {""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Local Read Blocks"": 0, ""Shared Hit Blocks"": 4, ""Shared Read Blocks"": 0, ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0}, ""Triggers"": [], ""Planning Time"": 0.074, ""Execution Time"": 0.044}]","0.074","0.044","38","40","0","0","0","0","0",NULL
"9","2025-10-13 02:30:54.409414+00","N=1000 jsonb_indexed","S1_expr_eq_num",9,"SELECT id FROM inv_jsonb
      WHERE (payload->>'indexed_text_1') = 'A'
        AND ((payload->>'indexed_number_1')::numeric) > 100","[{""Plan"": {""Alias"": ""inv_jsonb"", ""Plans"": [{""Node Type"": ""Bitmap Index Scan"", ""Plan Rows"": 38, ""Index Cond"": ""((payload ->> 'indexed_text_1'::text) = 'A'::text)"", ""Index Name"": ""inv_jsonb_idx_text1_ts1_txt"", ""Plan Width"": 0, ""Total Cost"": 1.66, ""Actual Rows"": 38, ""Actual Loops"": 1, ""Startup Cost"": 0.00, ""Async Capable"": false, ""Parallel Aware"": false, ""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Actual Total Time"": 0.005, ""Local Read Blocks"": 0, ""Shared Hit Blocks"": 2, ""Shared Read Blocks"": 0, ""Actual Startup Time"": 0.005, ""Parent Relationship"": ""Outer"", ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0}], ""Filter"": ""(((payload ->> 'indexed_number_1'::text))::numeric > '100'::numeric)"", ""Node Type"": ""Bitmap Heap Scan"", ""Plan Rows"": 38, ""Plan Width"": 8, ""Total Cost"": 39.52, ""Actual Rows"": 38, ""Actual Loops"": 1, ""Recheck Cond"": ""((payload ->> 'indexed_text_1'::text) = 'A'::text)"", ""Startup Cost"": 1.67, ""Async Capable"": false, ""Relation Name"": ""inv_jsonb"", ""Parallel Aware"": false, ""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Actual Total Time"": 0.036, ""Exact Heap Blocks"": 38, ""Local Read Blocks"": 0, ""Lossy Heap Blocks"": 0, ""Shared Hit Blocks"": 40, ""Shared Read Blocks"": 0, ""Actual Startup Time"": 0.011, ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0, ""Rows Removed by Filter"": 0, ""Rows Removed by Index Recheck"": 0}, ""Planning"": {""Local Hit Blocks"": 0, ""Temp Read Blocks"": 0, ""Local Read Blocks"": 0, ""Shared Hit Blocks"": 4, ""Shared Read Blocks"": 0, ""Temp Written Blocks"": 0, ""Local Dirtied Blocks"": 0, ""Local Written Blocks"": 0, ""Shared Dirtied Blocks"": 0, ""Shared Written Blocks"": 0}, ""Triggers"": [], ""Planning Time"": 0.072, ""Execution Time"": 0.043}]","0.072","0.043","38","40","0","0","0","0","0",NULL
