"label","variant","run_no","execution_ms"
"N=1000 rel_unindexed","S9_or_keys",1,"0.243"
"N=1000 rel_unindexed","S9_or_keys",2,"0.262"
"N=1000 rel_unindexed","S9_or_keys",3,"0.241"
"N=1000 rel_unindexed","S9_or_keys",4,"0.235"
"N=1000 rel_unindexed","S9_or_keys",5,"0.262"
"N=1000 rel_unindexed","S9_or_keys",6,"0.235"
"N=1000 rel_unindexed","S9_or_keys",7,"0.235"
"N=1000 rel_unindexed","S8_and3",1,"0.194"
"N=1000 rel_unindexed","S8_and3",2,"0.195"
"N=1000 rel_unindexed","S8_and3",3,"0.197"
"N=1000 rel_unindexed","S8_and3",4,"0.194"
"N=1000 rel_unindexed","S8_and3",5,"0.194"
"N=1000 rel_unindexed","S8_and3",6,"0.195"
"N=1000 rel_unindexed","S8_and3",7,"0.194"
"N=1000 rel_unindexed","S7_and2",1,"0.192"
"N=1000 rel_unindexed","S7_and2",2,"0.196"
"N=1000 rel_unindexed","S7_and2",3,"0.195"
"N=1000 rel_unindexed","S7_and2",4,"0.193"
"N=1000 rel_unindexed","S7_and2",5,"0.195"
"N=1000 rel_unindexed","S7_and2",6,"0.195"
"N=1000 rel_unindexed","S7_and2",7,"0.194"
"N=1000 rel_unindexed","S6_array_or",1,"0.323"
"N=1000 rel_unindexed","S6_array_or",2,"0.350"
"N=1000 rel_unindexed","S6_array_or",3,"0.327"
"N=1000 rel_unindexed","S6_array_or",4,"0.349"
"N=1000 rel_unindexed","S6_array_or",5,"0.324"
"N=1000 rel_unindexed","S6_array_or",6,"0.322"
"N=1000 rel_unindexed","S6_array_or",7,"0.323"
"N=1000 rel_unindexed","S5_array_and",1,"0.293"
"N=1000 rel_unindexed","S5_array_and",2,"0.294"
"N=1000 rel_unindexed","S5_array_and",3,"0.295"
"N=1000 rel_unindexed","S5_array_and",4,"0.294"
"N=1000 rel_unindexed","S5_array_and",5,"0.386"
"N=1000 rel_unindexed","S5_array_and",6,"0.295"
"N=1000 rel_unindexed","S5_array_and",7,"0.295"
"N=1000 rel_unindexed","S4_ts_range",1,"0.123"
"N=1000 rel_unindexed","S4_ts_range",2,"0.125"
"N=1000 rel_unindexed","S4_ts_range",3,"0.128"
"N=1000 rel_unindexed","S4_ts_range",4,"0.124"
"N=1000 rel_unindexed","S4_ts_range",5,"0.124"
"N=1000 rel_unindexed","S4_ts_range",6,"0.152"
"N=1000 rel_unindexed","S4_ts_range",7,"0.124"
"N=1000 rel_unindexed","S3_trgm_contains",1,"0.602"
"N=1000 rel_unindexed","S3_trgm_contains",2,"0.629"
