"index_name","index_size"
"inv_jsonb_idx_ts_2_txt","73 MB"
"inv_jsonb_idx_ts_1_txt","73 MB"
"inv_jsonb_idx_text1_ts1_txt","73 MB"
"inv_jsonb_idx_ts_3_txt","73 MB"
"inv_jsonb_idx_num_2","50 MB"
"inv_jsonb_idx_text1_bl1_num1_str","50 MB"
"inv_jsonb_idx_num_3","50 MB"
"inv_jsonb_idx_num_1","49 MB"
"inv_jsonb_idx_text_2_like","39 MB"
"inv_jsonb_idx_text_2","39 MB"
"inv_jsonb_idx_text_3_like","30 MB"
"inv_jsonb_idx_text_3","30 MB"
"inv_jsonb_idx_text_2_trgm","29 MB"
"inv_jsonb_idx_text_1","28 MB"
"inv_jsonb_idx_text_1_like","28 MB"
"inv_jsonb_idx_bool_3","28 MB"
"inv_jsonb_idx_bool_2","28 MB"
"inv_jsonb_idx_bool_1","28 MB"
"inv_jsonb_pkey","21 MB"
"inv_jsonb_idx_text_3_trgm","19 MB"
"inv_jsonb_idx_text_1_trgm","9224 kB"
"inv_jsonb_idx_text_arr_1_gin","7432 kB"
"inv_jsonb_idx_text_arr_2_gin","7088 kB"
"inv_jsonb_idx_text_arr_3_gin","6536 kB"
"inv_rel_idx_text1_ts1","50 MB"
"inv_rel_idx_num_2","50 MB"
"inv_rel_idx_num_3","50 MB"
"inv_rel_idx_text1_bl1_num1","50 MB"
"inv_rel_idx_num_1","49 MB"
"inv_rel_idx_ts_2","39 MB"
"inv_rel_idx_text_2","39 MB"
"inv_rel_idx_text_2_like","39 MB"
"inv_rel_idx_ts_1","38 MB"
"inv_rel_idx_ts_3","38 MB"
"inv_rel_idx_text_3_like","30 MB"
"inv_rel_idx_text_3","30 MB"
"inv_rel_idx_text_1","28 MB"
"inv_rel_idx_text_1_like","28 MB"
"inv_rel_idx_bool_3","28 MB"
"inv_rel_idx_bool_2","28 MB"
"inv_rel_idx_bool_1","28 MB"
"inv_rel_idx_text_2_trgm","27 MB"
"inv_rel_pkey","21 MB"
"inv_rel_idx_text_3_trgm","15 MB"
"inv_rel_idx_text_1_trgm","9528 kB"
"inv_rel_idx_text_arr_1","6960 kB"
"inv_rel_idx_text_arr_2","6640 kB"
"inv_rel_idx_text_arr_3","6144 kB"
