variant,n_pairs,mean_log_ratio,geomean_ratio,threshold_ratio,t_stat,df,p_value,passes,point_pass,note
S10_topn_order,30,-0.20643267034308055,0.8134810310118612,0.9,-20.1580650685433,29,0.0,True,True,
S1_expr_eq_num,30,-0.2906989727639359,0.7477407344689205,0.9,-28.14070392392813,29,0.0,True,True,
S2_like_prefix,30,-0.05561047688381869,0.9459075169828974,0.9,1.2946439679513402,29,0.9022784612834092,False,False,
S3_trgm_contains,30,-0.5736523926475555,0.5634636852038569,0.9,-79.1734834285496,29,0.0,True,True,
S4_ts_range,30,-0.4000623109447635,0.6702782790615602,0.9,-69.84273202118926,29,0.0,True,True,
S5_array_and,30,-0.7657328510467846,0.4649930354439747,0.9,-42.01441316955585,29,0.0,True,True,
S6_array_or,30,-0.694049423244998,0.49954908210674787,0.9,-121.25761951532421,29,0.0,True,True,
S7_and2,30,-0.17084270544828656,0.8429541551401073,0.9,-22.344416363036437,29,0.0,True,True,
S8_and3,30,0.24684760818315324,1.2799840388215993,0.9,32.82500844494137,29,1.0,False,False,
S9_or_keys,30,-0.5681995737595054,0.5665445426745198,0.9,-98.21257618146126,29,0.0,True,True,
__OVERALL__,300,-0.3478433768899576,0.7062094762774114,0.9,-13.611985990772254,299,0.0,True,True,
