variant,engine,n,mean_ms,shared_hits_mean
S1_expr_eq_num,jsonb,30,87.16283333333332,38532.0
S1_expr_eq_num,rel,30,10.267666666666665,18025.0
S2_like_prefix,jsonb,30,0.061399999999999996,22.0
S2_like_prefix,rel,30,0.04223333333333334,5.0
S3_trgm_contains,jsonb,30,384.6055,167410.0
S3_trgm_contains,rel,30,613.2722666666667,3776.0
S4_ts_range,jsonb,30,98.9786,70206.0
S4_ts_range,rel,30,15.731966666666667,39821.0
S5_array_and,jsonb,30,227.14246666666668,91201.0
S5_array_and,rel,30,103.42429999999999,47921.0
S6_array_or,jsonb,30,881.7087666666666,166339.0
S6_array_or,rel,30,423.43333333333334,51613.0
S7_and2,jsonb,30,65.2153,38932.0
S7_and2,rel,30,7.9425,18027.0
S8_and3,jsonb,30,41.4743,38698.0
S8_and3,rel,30,7.6256,18025.0
S9_or_keys,jsonb,30,579.7142666666666,171859.0
S9_or_keys,rel,30,217.92066666666668,470816.0
S10_topn_order,jsonb,30,50.143,38827.0
S10_topn_order,rel,30,8.6274,18030.0
