size,series,variant,p95_ms
1000,jsonb_indexed,S10_topn_order,0.112
10000,jsonb_indexed,S10_topn_order,0.245
100000,jsonb_indexed,S10_topn_order,4.665
1000000,jsonb_indexed,S10_topn_order,104.973
1000,jsonb_unindexed,S10_topn_order,0.34
10000,jsonb_unindexed,S10_topn_order,5.355
100000,jsonb_unindexed,S10_topn_order,64.396
1000000,jsonb_unindexed,S10_topn_order,751.374
1000,rel_indexed,S10_topn_order,0.062
10000,rel_indexed,S10_topn_order,0.505
100000,rel_indexed,S10_topn_order,2.302
1000000,rel_indexed,S10_topn_order,47.037
1000,rel_unindexed,S10_topn_order,0.141
10000,rel_unindexed,S10_topn_order,1.744
100000,rel_unindexed,S10_topn_order,17.827
1000000,rel_unindexed,S10_topn_order,221.226
1000,jsonb_indexed,S1_expr_eq_num,0.062
10000,jsonb_indexed,S1_expr_eq_num,0.404
100000,jsonb_indexed,S1_expr_eq_num,4.845
1000000,jsonb_indexed,S1_expr_eq_num,72.887
1000,jsonb_unindexed,S1_expr_eq_num,0.328
10000,jsonb_unindexed,S1_expr_eq_num,3.578
100000,jsonb_unindexed,S1_expr_eq_num,47.799
1000000,jsonb_unindexed,S1_expr_eq_num,498.625
1000,rel_indexed,S1_expr_eq_num,0.099
10000,rel_indexed,S1_expr_eq_num,0.508
100000,rel_indexed,S1_expr_eq_num,4.724
1000000,rel_indexed,S1_expr_eq_num,59.907
1000,rel_unindexed,S1_expr_eq_num,0.253
10000,rel_unindexed,S1_expr_eq_num,2.709
100000,rel_unindexed,S1_expr_eq_num,32.783
1000000,rel_unindexed,S1_expr_eq_num,314.204
1000,jsonb_indexed,S2_like_prefix,0.022
10000,jsonb_indexed,S2_like_prefix,0.078
100000,jsonb_indexed,S2_like_prefix,0.06
1000000,jsonb_indexed,S2_like_prefix,0.089
1000,jsonb_unindexed,S2_like_prefix,0.391
10000,jsonb_unindexed,S2_like_prefix,3.939
100000,jsonb_unindexed,S2_like_prefix,46.242
1000000,jsonb_unindexed,S2_like_prefix,423.524
1000,rel_indexed,S2_like_prefix,0.01
10000,rel_indexed,S2_like_prefix,0.081
100000,rel_indexed,S2_like_prefix,0.057
1000000,rel_indexed,S2_like_prefix,0.068
1000,rel_unindexed,S2_like_prefix,0.143
10000,rel_unindexed,S2_like_prefix,1.75
100000,rel_unindexed,S2_like_prefix,19.648
1000000,rel_unindexed,S2_like_prefix,169.873
1000,jsonb_indexed,S3_trgm_contains,0.575
10000,jsonb_indexed,S3_trgm_contains,5.6
100000,jsonb_indexed,S3_trgm_contains,45.557
1000000,jsonb_indexed,S3_trgm_contains,421.978
1000,jsonb_unindexed,S3_trgm_contains,0.792
10000,jsonb_unindexed,S3_trgm_contains,8.279
100000,jsonb_unindexed,S3_trgm_contains,111.225
1000000,jsonb_unindexed,S3_trgm_contains,1067.214
1000,rel_indexed,S3_trgm_contains,0.637
10000,rel_indexed,S3_trgm_contains,6.012
100000,rel_indexed,S3_trgm_contains,31.571
1000000,rel_indexed,S3_trgm_contains,239.123
1000,rel_unindexed,S3_trgm_contains,0.645
10000,rel_unindexed,S3_trgm_contains,6.308
100000,rel_unindexed,S3_trgm_contains,67.16
1000000,rel_unindexed,S3_trgm_contains,674.191
1000,jsonb_indexed,S4_ts_range,0.063
10000,jsonb_indexed,S4_ts_range,0.484
100000,jsonb_indexed,S4_ts_range,6.437
1000000,jsonb_indexed,S4_ts_range,98.667
1000,jsonb_unindexed,S4_ts_range,0.731
10000,jsonb_unindexed,S4_ts_range,9.657
100000,jsonb_unindexed,S4_ts_range,98.195
1000000,jsonb_unindexed,S4_ts_range,994.026
1000,rel_indexed,S4_ts_range,0.053
10000,rel_indexed,S4_ts_range,0.406
100000,rel_indexed,S4_ts_range,4.588
1000000,rel_indexed,S4_ts_range,66.207
