variant,size,indexing,abs_rel,abs_jsonb,pct_slower
S10_topn_order,1000,indexed,0.036,0.028,-22.22222222222221
S10_topn_order,10000,indexed,0.115,0.328,185.2173913043478
S10_topn_order,100000,indexed,0.801,3.703,362.29712858926337
S10_topn_order,1000000,indexed,9.88,51.633,422.6012145748988
S10_topn_order,1000,unindexed,0.182,0.353,93.95604395604396
S10_topn_order,10000,unindexed,1.46,5.218,257.3972602739726
S10_topn_order,100000,unindexed,19.559,51.068,161.0971931080321
S10_topn_order,1000000,unindexed,208.69,502.622,140.84623125209643
S1_expr_eq_num,1000,indexed,0.041,0.087,112.19512195121948
S1_expr_eq_num,10000,indexed,0.138,0.864,526.086956521739
S1_expr_eq_num,100000,indexed,1.029,8.956,770.3595724003887
S1_expr_eq_num,1000000,indexed,12.497,90.121,621.1410738577258
S1_expr_eq_num,1000,unindexed,0.246,0.446,81.30081300813008
S1_expr_eq_num,10000,unindexed,2.215,4.946,123.2957110609481
S1_expr_eq_num,100000,unindexed,28.372,52.567,85.27773861553645
S1_expr_eq_num,1000000,unindexed,287.622,492.481,71.22508013990583
S2_like_prefix,1000,indexed,0.009,0.009,0.0
S2_like_prefix,10000,indexed,0.038,0.082,115.78947368421053
S2_like_prefix,100000,indexed,0.051,0.102,100.0
S2_like_prefix,1000000,indexed,0.044,0.063,43.18181818181819
S2_like_prefix,1000,unindexed,0.13,0.319,145.38461538461542
S2_like_prefix,10000,unindexed,1.203,3.611,200.16625103906898
S2_like_prefix,100000,unindexed,18.775,44.097,134.87083888149138
S2_like_prefix,1000000,unindexed,184.804,432.024,133.77416073245166
S3_trgm_contains,1000,indexed,0.649,0.283,-56.394453004622505
S3_trgm_contains,10000,indexed,8.416,4.207,-50.011882129277566
S3_trgm_contains,100000,indexed,64.71,40.56,-37.32035234121464
S3_trgm_contains,1000000,indexed,644.121,469.178,-27.159959076012118
S3_trgm_contains,1000,unindexed,0.654,0.767,17.27828746177369
S3_trgm_contains,10000,unindexed,9.893,12.424,25.583746083089043
S3_trgm_contains,100000,unindexed,77.68,109.249,40.63980432543768
S3_trgm_contains,1000000,unindexed,751.399,1080.176,43.75531508559367
S4_ts_range,1000,indexed,0.018,0.064,255.55555555555557
S4_ts_range,10000,indexed,0.173,0.535,209.24855491329484
S4_ts_range,100000,indexed,1.41,8.925,532.9787234042553
S4_ts_range,1000000,indexed,16.905,101.285,499.1422656018929
S4_ts_range,1000,unindexed,0.153,0.48,213.72549019607843
S4_ts_range,10000,unindexed,1.444,7.314,406.5096952908587
S4_ts_range,100000,unindexed,19.331,78.3,305.048885210284
S4_ts_range,1000000,unindexed,181.294,741.205,308.8414398711485
S5_array_and,1000,indexed,0.099,0.157,58.58585858585859
S5_array_and,10000,indexed,0.897,1.305,45.48494983277591
S5_array_and,100000,indexed,10.178,23.295,128.87600707408134
S5_array_and,1000000,indexed,104.658,234.301,123.87299585315978
S5_array_and,1000,unindexed,0.315,0.491,55.87301587301587
S5_array_and,10000,unindexed,3.32,5.05,52.108433734939766
S5_array_and,100000,unindexed,38.546,65.331,69.4884034659887
S5_array_and,1000000,unindexed,369.14,631.823,71.16080619819039
S6_array_or,1000,indexed,0.409,0.674,64.79217603911982
S6_array_or,10000,indexed,6.339,8.736,37.81353525792712
S6_array_or,100000,indexed,53.64,93.573,74.44630872483219
S6_array_or,1000000,indexed,453.491,897.238,97.85133552815823
S6_array_or,1000,unindexed,0.476,0.643,35.084033613445385
S6_array_or,10000,unindexed,4.623,9.635,108.41444949167207
S6_array_or,100000,unindexed,52.371,88.879,69.71033587290675
S6_array_or,1000000,unindexed,471.155,874.834,85.67859833812652
S7_and2,1000,indexed,0.018,0.074,311.11111111111114
S7_and2,10000,indexed,0.118,0.384,225.42372881355934
S7_and2,100000,indexed,0.783,5.222,566.9220945083015
S7_and2,1000000,indexed,10.891,68.168,525.9113029106603
S7_and2,1000,unindexed,0.24,0.306,27.500000000000014
S7_and2,10000,unindexed,2.882,4.692,62.80360860513532
S7_and2,100000,unindexed,27.079,49.172,81.58720779940174
S7_and2,1000000,unindexed,263.143,484.347,84.06227792493057
S8_and3,1000,indexed,0.038,0.028,-26.315789473684205
S8_and3,10000,indexed,0.157,0.229,45.85987261146498
S8_and3,100000,indexed,0.763,2.196,187.81127129750982
S8_and3,1000000,indexed,7.876,43.171,448.1335703402742
S8_and3,1000,unindexed,0.273,0.386,41.39194139194138
S8_and3,10000,unindexed,2.829,4.945,74.79674796747969
S8_and3,100000,unindexed,30.071,51.446,71.0817731369093
S8_and3,1000000,unindexed,307.094,509.841,66.02115313226568
S9_or_keys,1000,indexed,0.205,0.481,134.6341463414634
S9_or_keys,10000,indexed,2.241,5.278,135.51985720660417
S9_or_keys,100000,indexed,16.306,57.738,254.09051882742548
S9_or_keys,1000000,indexed,236.833,592.229,150.06185793364946
S9_or_keys,1000,unindexed,0.306,0.519,69.60784313725492
S9_or_keys,10000,unindexed,4.056,7.905,94.89644970414201
S9_or_keys,100000,unindexed,32.575,77.635,138.32693783576363
S9_or_keys,1000000,unindexed,321.828,749.035,132.74388803957393
