size,series,variant,p95_ms
1000,jsonb_indexed,S10_topn_order,0.095
10000,jsonb_indexed,S10_topn_order,0.072
100000,jsonb_indexed,S10_topn_order,0.051
1000000,jsonb_indexed,S10_topn_order,0.056
1000,jsonb_unindexed,S10_topn_order,0.329
10000,jsonb_unindexed,S10_topn_order,3.86
100000,jsonb_unindexed,S10_topn_order,50.446
1000000,jsonb_unindexed,S10_topn_order,493.261
1000,rel_indexed,S10_topn_order,0.044
10000,rel_indexed,S10_topn_order,0.055
100000,rel_indexed,S10_topn_order,0.055
1000000,rel_indexed,S10_topn_order,0.061
1000,rel_unindexed,S10_topn_order,0.117
10000,rel_unindexed,S10_topn_order,1.298
100000,rel_unindexed,S10_topn_order,19.015
1000000,rel_unindexed,S10_topn_order,168.966
1000,jsonb_indexed,S1_expr_eq_num,0.14
10000,jsonb_indexed,S1_expr_eq_num,0.389
100000,jsonb_indexed,S1_expr_eq_num,4.744
1000000,jsonb_indexed,S1_expr_eq_num,71.786
1000,jsonb_unindexed,S1_expr_eq_num,0.345
10000,jsonb_unindexed,S1_expr_eq_num,3.843
100000,jsonb_unindexed,S1_expr_eq_num,47.351
1000000,jsonb_unindexed,S1_expr_eq_num,507.615
1000,rel_indexed,S1_expr_eq_num,0.036
10000,rel_indexed,S1_expr_eq_num,0.347
100000,rel_indexed,S1_expr_eq_num,4.126
1000000,rel_indexed,S1_expr_eq_num,53.314
1000,rel_unindexed,S1_expr_eq_num,0.235
10000,rel_unindexed,S1_expr_eq_num,2.633
100000,rel_unindexed,S1_expr_eq_num,30.17
1000000,rel_unindexed,S1_expr_eq_num,309.193
1000,jsonb_indexed,S2_like_prefix,0.008
10000,jsonb_indexed,S2_like_prefix,0.056
100000,jsonb_indexed,S2_like_prefix,0.06
1000000,jsonb_indexed,S2_like_prefix,0.06
1000,jsonb_unindexed,S2_like_prefix,0.232
10000,jsonb_unindexed,S2_like_prefix,2.958
100000,jsonb_unindexed,S2_like_prefix,40.531
1000000,jsonb_unindexed,S2_like_prefix,417.132
1000,rel_indexed,S2_like_prefix,0.007
10000,rel_indexed,S2_like_prefix,0.044
100000,rel_indexed,S2_like_prefix,0.049
1000000,rel_indexed,S2_like_prefix,0.05
1000,rel_unindexed,S2_like_prefix,0.107
10000,rel_unindexed,S2_like_prefix,1.373
100000,rel_unindexed,S2_like_prefix,16.54
1000000,rel_unindexed,S2_like_prefix,181.473
1000,jsonb_indexed,S3_trgm_contains,0.468
10000,jsonb_indexed,S3_trgm_contains,7.18
100000,jsonb_indexed,S3_trgm_contains,46.424
1000000,jsonb_indexed,S3_trgm_contains,417.367
1000,jsonb_unindexed,S3_trgm_contains,0.822
10000,jsonb_unindexed,S3_trgm_contains,9.237
100000,jsonb_unindexed,S3_trgm_contains,109.468
1000000,jsonb_unindexed,S3_trgm_contains,1073.709
1000,rel_indexed,S3_trgm_contains,0.634
10000,rel_indexed,S3_trgm_contains,6.72
100000,rel_indexed,S3_trgm_contains,25.728
1000000,rel_indexed,S3_trgm_contains,224.465
1000,rel_unindexed,S3_trgm_contains,0.66
10000,rel_unindexed,S3_trgm_contains,6.44
100000,rel_unindexed,S3_trgm_contains,71.657
1000000,rel_unindexed,S3_trgm_contains,671.581
1000,jsonb_indexed,S4_ts_range,0.088
10000,jsonb_indexed,S4_ts_range,0.509
100000,jsonb_indexed,S4_ts_range,7.187
1000000,jsonb_indexed,S4_ts_range,97.596
1000,jsonb_unindexed,S4_ts_range,0.754
10000,jsonb_unindexed,S4_ts_range,9.004
100000,jsonb_unindexed,S4_ts_range,98.695
