variant,N=1000000 jsonb_indexed,N=1000000 jsonb_unindexed,N=1000000 rel_indexed,N=1000000 rel_unindexed,family
S10_topn_order,0.069,157.816,0.066,62.478,S10
S1_expr_eq_num,85.596,241.07,81.877,146.991,S1
S2_like_prefix,0.075,220.293,0.063,84.858,S2
S3_trgm_contains,460.736,325.818,273.821,939.896,S3
S4_ts_range,134.331,270.655,69.288,70.679,S4
S5_array_and,272.674,203.789,121.17,438.646,S5
S6_array_or,992.457,266.312,249.504,503.944,S6
S7_and2,93.005,89.653,70.134,88.336,S7
S8_and3,0.986,0.917,0.01,98.237,S8
S9_or_keys,724.081,814.156,184.345,378.824,S9
