variant,jsonb_indexed,jsonb_unindexed,rel_indexed,rel_unindexed,family
S10_topn_order,0.051,485.135,0.057,160.575,S10
S1_expr_eq_num,71.554,481.066,51.807,303.868,S1
S2_like_prefix,0.058,411.758,0.047,165.032,S2
S3_trgm_contains,399.85,1061.979,222.267,654.438,S3
S4_ts_range,97.304,969.648,64.311,182.75,S4
S5_array_and,230.154,633.186,108.478,382.212,S5
S6_array_or,843.998,813.162,224.019,389.146,S6
S7_and2,569.706,583.098,47.167,267.505,S7
S8_and3,565.306,573.491,0.011,266.553,S8
S9_or_keys,815.731,856.395,163.378,322.812,S9
