variant,jsonb_indexed,jsonb_unindexed,rel_indexed,rel_unindexed,family
S10_topn_order,371,1164380,371,361340,S10
S1_expr_eq_num,269395,1164380,267897,361340,S1
S2_like_prefix,147,1164380,70,361340,S2
S3_trgm_contains,1169847,1164380,366037,361340,S3
S4_ts_range,487802,1164380,299068,361340,S4
S5_array_and,639058,1164380,334950,361340,S5
S6_array_or,1164380,1164380,362971,361340,S6
S7_and2,1164380,1164380,269087,361340,S7
S8_and3,1164380,1164380,21,361340,S8
S9_or_keys,1164380,1164380,364322,361340,S9
